,whale_vessel_distance,latitude,longitude,site_,date,weekday,time,focal_follow_,ff_cont,species,behaviour,calf_present,ecotour_presence,vessel_type,whale_mentioned_on_radio,vessel_speed,vessel_id,time_with_whale,median_vessels,time_ff,regulation_distance,dist_from_reg
16,67.59,50.5731208,-126.7050155,Orca Lab,2023-07-12,Weekday,17:21,1,1,Humpback,Resting,no,0,Commercial,no,Fast,1,4,1,38,100,-32.41
783,913.25,50.5732247,-126.7049524,Orca Lab,2023-07-12,Weekday,17:30,1,1,Humpback,Resting,no,0,Commercial,no,Slow/Med.,2,2,1,38,100,813.25
755,878.23,50.5731553,-126.7049948,Orca Lab,2023-07-12,Weekday,17:59,1,1,Humpback,Travel,no,0,Rec. Non-Fishing,no,Slow/Med.,3,2,1,38,100,778.23
12,34.09,50.5732016,-126.7049571,Orca Lab,2023-07-14,Weekday,8:40,1,2,Humpback,Travel,no,0,Rec. Non-Fishing,no,Fast,2,6,1,6,100,-65.91
274,367.75,50.573227,-126.7049684,Orca Lab,2023-07-14,Weekday,8:46,1,2,Humpback,Travel,no,0,Rec. Non-Fishing,no,Slow/Med.,3,2,1,6,100,267.75
525,615.17,50.5732003,-126.7049392,Orca Lab,2023-07-14,Weekday,9:15,2,3,Humpback,Resting,no,0,Rec. Non-Fishing,no,Idle,1,2,1,2,100,515.17
221,322.91,50.5731987,-126.7050315,Orca Lab,2023-07-14,Weekday,11:41,3,4,Humpback,Travel,no,0,Rec. Non-Fishing,no,Idle,1,2,1,3,100,222.91
37,122.63,50.5732609,-126.7049868,Orca Lab,2023-07-14,Weekday,12:10,4,5,Humpback,Foraging,no,1,Ecotour,no,Idle,1,13,1,33,100,22.63
363,469.92,50.5733108,-126.7052584,Orca Lab,2023-07-14,Weekday,12:41,4,5,Humpback,Foraging,no,1,Rec. Fishing,no,Slow/Med.,3,2,1,33,100,369.92
399,506.13,50.5731578,-126.7050263,Orca Lab,2023-07-14,Weekday,12:43,4,5,Humpback,Foraging,no,1,Rec. Fishing,no,Slow/Med.,4,2,1,33,100,406.13
742,863.78,50.5741142,-126.7067457,Orca Lab,2023-07-14,Weekday,13:15,6,6,Humpback,Travel,no,0,Rec. Non-Fishing,no,Idle,1,2,1,2,100,763.78
